"No.","Time","Source","Destination","Protocol","Length","Info"
"4210","32.128276362","93.184.215.201","192.168.3.246","TLSv1.3","2868","[TCP Fast Retransmission] , Continuation Data"
"4211","32.128302200","192.168.3.246","93.184.215.201","TCP","96","44046  >  443 [ACK] Seq=2012 Ack=30858751 Win=1649792 Len=0 TSval=1862677809 TSecr=3603071346 SLE=31068751 SRE=31077151 SLE=31042151 SRE=31065951 SLE=30921751 SRE=31040751"
"4212","32.128439812","93.184.215.201","192.168.3.246","TCP","11268","[TCP Retransmission] 443  >  44046 [PSH, ACK] Seq=30858751 Ack=2012 Win=70144 Len=11200 TSval=3603071346 TSecr=1862677795"
"4213","32.128453693","192.168.3.246","93.184.215.201","TCP","96","44046  >  443 [ACK] Seq=2012 Ack=30869951 Win=1649792 Len=0 TSval=1862677809 TSecr=3603071346 SLE=31068751 SRE=31077151 SLE=31042151 SRE=31065951 SLE=30921751 SRE=31040751"
"4214","32.128491870","93.184.215.201","192.168.3.246","TCP","8468","[TCP Retransmission] 443  >  44046 [ACK] Seq=30869951 Ack=2012 Win=70144 Len=8400 TSval=3603071346 TSecr=1862677795"
"4215","32.128503741","192.168.3.246","93.184.215.201","TCP","96","44046  >  443 [ACK] Seq=2012 Ack=30878351 Win=1649792 Len=0 TSval=1862677809 TSecr=3603071346 SLE=31068751 SRE=31077151 SLE=31042151 SRE=31065951 SLE=30921751 SRE=31040751"
"4216","32.128853266","93.184.215.201","192.168.3.246","TCP","1468","[TCP Retransmission] 443  >  44046 [PSH, ACK] Seq=30878351 Ack=2012 Win=70144 Len=1400 TSval=3603071346 TSecr=1862677795"
"4217","32.128879094","192.168.3.246","93.184.215.201","TCP","80","44046  >  443 [ACK] Seq=2012 Ack=31065951 Win=1649792 Len=0 TSval=1862677810 TSecr=3603071346 SLE=31068751 SRE=31077151"
"4218","32.128853348","93.184.215.201","192.168.3.246","TCP","9868","[TCP Retransmission] 443  >  44046 [PSH, ACK] Seq=31077151 Ack=2012 Win=70144 Len=9800 TSval=3603071346 TSecr=1862677795"
"4219","32.128894132","192.168.3.246","93.184.215.201","TCP","80","[TCP Dup ACK 4217#1] 44046  >  443 [ACK] Seq=2012 Ack=31065951 Win=1649792 Len=0 TSval=1862677810 TSecr=3603071346 SLE=31068751 SRE=31086951"
